obsDate,active,recovered,deaths
2022-12-26 08:00:00,3428,44143179,530695
2022-12-27 08:00:00,3421,44143342,530696
2022-12-28 08:00:00,3468,44143483,530696
2022-12-29 08:00:00,3552,44143665,530698
2022-12-30 08:00:00,3609,44143850,530699
2022-12-31 08:00:00,3653,44144029,530702
2023-01-01 08:00:00,2706,44145238,530705
2023-01-01 08:00:00,2706,44145238,530705
2023-01-03 08:00:00,2582,44145667,530707
2023-01-04 08:00:00,2570,44145854,530707
2023-01-05 08:00:00,2554,44146055,530710
2023-01-06 08:00:00,2503,44146330,530714
2023-01-07 08:00:00,2509,44146534,530718
2023-01-08 08:00:00,2423,44146781,530720
2023-01-09 08:00:00,2371,44147002,530721
2023-01-10 08:00:00,2319,44147174,530722
2023-01-11 08:00:00,2342,44147322,530722
2023-01-12 08:00:00,2309,44147551,530723
2023-01-13 08:00:00,2257,44147775,530725
2023-01-14 08:00:00,2227,44147983,530726
2023-01-15 08:00:00,2149,44148165,530726
2023-01-16 08:00:00,2119,44148309,530726
2023-01-17 08:00:00,2035,44148472,530726
2023-01-18 08:00:00,1998,44148645,530728
2023-01-19 08:00:00,1962,44148815,530728
2023-01-20 08:00:00,1946,44148976,530728
2023-01-21 08:00:00,1940,44149111,530730
2023-01-22 08:00:00,1960,44149228,530733
2023-01-23 08:00:00,1934,44149346,530735
2023-01-24 08:00:00,1931,44149436,530737
2023-01-25 08:00:00,1922,44149547,530737
2023-01-26 08:00:00,1906,44149694,530738
2023-01-26 08:00:00,1906,44149694,530738
2023-01-28 08:00:00,1842,44149949,530739
2023-01-29 08:00:00,1842,44150057,530740
2023-01-30 08:00:00,1848,44150131,530740
2023-01-31 08:00:00,1755,44150289,530740
2023-02-01 08:00:00,1783,44150372,530740
2023-02-02 08:00:00,1763,44150519,530741
2023-02-03 08:00:00,1764,44150617,530741
2023-02-04 08:00:00,1792,44150713,530745
2023-02-05 08:00:00,1817,44150801,530745
2023-02-06 08:00:00,1817,44150892,530745
2023-02-07 08:00:00,1771,44151027,530745
2023-02-08 08:00:00,1785,44151108,530746
2023-02-09 08:00:00,1781,44151219,530748
2023-02-10 08:00:00,1797,44151315,530750
2023-02-10 08:00:00,1797,44151315,530750
2023-02-12 08:00:00,1843,44151525,530750
2023-02-12 08:00:00,1843,44151525,530750
2023-02-14 08:00:00,1818,44151703,530753
2023-02-15 08:00:00,1823,44151797,530756
2023-02-16 08:00:00,1835,44151910,530757
2023-02-17 08:00:00,1862,44152039,530757
2023-02-18 08:00:00,1867,44152151,530757
2023-02-19 08:00:00,1899,44152258,530760
2023-02-20 08:00:00,1916,44152360,530761
2023-02-21 08:00:00,1921,44152450,530761
2023-02-22 08:00:00,1935,44152560,530762
2023-02-23 08:00:00,2000,44152687,530763
2023-02-24 08:00:00,2016,44152839,530764
2023-02-25 08:00:00,2090,44152945,530764
2023-02-26 08:00:00,2149,44153099,530769
2023-02-27 08:00:00,2229,44153203,530770
2023-02-28 08:00:00,2257,44153343,530771
2023-03-01 08:00:00,2335,44153504,530772
2023-03-03 08:00:00,2525,44153865,530772
